ID	char	pua	romanized	symbol
SD-A57D	囚	U+10457D	dhi	
SD-A57E	外	U+10457E	dhī	
SD-A5A3	奴	U+1045A3	dhe	
SD-A5A4	奶	U+1045A4	dhai	
SD-A5A5	孕	U+1045A5	dho	
SD-A5A6	它	U+1045A6	dhau	
SD-A5A7	尼	U+1045A7	dhaṃ	
SD-A5A8	巨	U+1045A8	dhaḥ	
SD-A5A9	巧	U+1045A9	na	
SD-A5AA	左	U+1045AA	nā	
SD-A5AB	市	U+1045AB	ni	
SD-A5AC	布	U+1045AC	nī	
SD-A5AD	平	U+1045AD	nu	
SD-A5AF	弁	U+1045AF	ne	
SD-A5B0	弘	U+1045B0	nai	
SD-A5B1	弗	U+1045B1	no	
SD-A5B2	必	U+1045B2	nau	
SD-A5B3	戊	U+1045B3	naṃ	
SD-A5B4	打	U+1045B4	naḥ	
SD-A5B5	扔	U+1045B5	pa	
SD-A5B6	扒	U+1045B6	pā	
SD-A5B7	扑	U+1045B7	pi	
SD-A5B8	斥	U+1045B8	pī	
SD-A5B9	旦	U+1045B9	pu	
SD-A5BB	本	U+1045BB	pe	
SD-A5BC	未	U+1045BC	pai	
SD-A5BD	末	U+1045BD	po	
SD-A5BE	札	U+1045BE	pau	
SD-A5BF	正	U+1045BF	paṃ	
SD-A5C0	母	U+1045C0	paḥ	
SD-A5C1	民	U+1045C1	pha	
SD-A5C2	氐	U+1045C2	phā	
SD-A5C3	永	U+1045C3	phi	
SD-A5C7	犯	U+1045C7	phe	
SD-A5C9	玉	U+1045C9	pho	
SD-A5CB	瓦	U+1045CB	phaṃ	
SD-A5CC	甘	U+1045CC	phaḥ	
SD-A5CD	生	U+1045CD	ba	
SD-A5CE	用	U+1045CE	bā	
SD-A5CF	甩	U+1045CF	bi	
SD-A5D0	田	U+1045D0	bī	
SD-A5D1	由	U+1045D1	bu	
SD-A5D3	申	U+1045D3	be	
SD-A5D4	疋	U+1045D4	bai	
SD-A5D5	白	U+1045D5	bo	
SD-A5D7	皿	U+1045D7	baṃ	
SD-A5D8	目	U+1045D8	baḥ	
SD-A5D9	矛	U+1045D9	bha	
SD-A5DA	矢	U+1045DA	bhā	
SD-A5DB	石	U+1045DB	bhi	
SD-A5DC	示	U+1045DC	bhī	
SD-A5DD	禾	U+1045DD	bhu	
SD-A5DE	穴	U+1045DE	bhū	
SD-A5DF	立	U+1045DF	bhe	
SD-A5E0	丞	U+1045E0	bhai	
SD-A5E1	丟	U+1045E1	bho	
SD-A5E2	乒	U+1045E2	bhau	
SD-A5E3	乓	U+1045E3	bhaṃ	
SD-A5E4	乩	U+1045E4	bhaḥ	
SD-A5E5	亙	U+1045E5	ma	
SD-A5E6	交	U+1045E6	mā	
SD-A5E7	亦	U+1045E7	mi	
SD-A5E8	亥	U+1045E8	mī	
SD-A5EB	伙	U+1045EB	me	
SD-A5EC	伊	U+1045EC	mai	
SD-A5ED	伕	U+1045ED	mo	
SD-A5EE	伍	U+1045EE	mau	
SD-A5EF	伐	U+1045EF	maṃ	
SD-A5F0	休	U+1045F0	maḥ	
SD-A5F1	伏	U+1045F1	ya	
SD-A5F2	仲	U+1045F2	yā	
SD-A5F3	件	U+1045F3	yi	
SD-A5F4	任	U+1045F4	yī	
SD-A5F5	仰	U+1045F5	yu	
SD-A5F7	份	U+1045F7	ye	
SD-A5F8	企	U+1045F8	yai	
SD-A5F9	伋	U+1045F9	yo	
SD-A5FB	兇	U+1045FB	yaṃ	
SD-A5FC	兆	U+1045FC	yaḥ	
SD-A5FD	先	U+1045FD	ra	
SD-A5FE	全	U+1045FE	rā	
SD-A640	共	U+104640	ri	
SD-A641	再	U+104641	rī	
SD-A642	冰	U+104642	ru	
SD-A643	列	U+104643	rū	
SD-A644	刑	U+104644	re	
SD-A645	划	U+104645	rai	
SD-A646	刎	U+104646	ro	
SD-A647	刖	U+104647	rau	
SD-A648	劣	U+104648	raṃ	
SD-A649	匈	U+104649	raḥ	
SD-A64A	匡	U+10464A	la	
SD-A64B	匠	U+10464B	lā	
SD-A64C	印	U+10464C	li	
SD-A64D	危	U+10464D	lī	
SD-A64E	吉	U+10464E	lu	
SD-A650	同	U+104650	le	
SD-A651	吊	U+104651	lai	
SD-A652	吐	U+104652	lo	
SD-A654	吋	U+104654	laṃ	
