ID	unicode	uni_char	norm_unicode	norm_uni_char	composition	norm_big5_char	moe_variant_id
CB15845					[仁-二+(儿/又)]	役	
CB15846			27E6C	𧹬	[赤*(栗-木+土)]		c13665
CB15847			34F8	㓸	[利-禾+(亞-一+?)]	斲	b01500-015
CB15848					[(土/(冉-土+、))*殳]		a02092-002,b00394-006
CB15849					[(訊-言)/且]		
CB15850					[卄/(甬-(十/十)+羊)]	菡	
CB15851					[石*((向-口+人)/比)]	砒	b02945-002
CB15852			78C7	磇	[石*((囟-乂+人)/比)]	砒	b02945-003
CB15853					[泳-永+(亦-(白-日))]	沶	
CB15855					[(口/?/頁)/((白-日+田)/廾)]		
CB15856					[跳-兆+((嘹-口)-(日/小)+(百-日+ㄎ))]	跨	a04014-023
CB15857					[(○@初)/((○@衣)*(○@佛))]		
CB15858					[七/夭]		
CB15859	5415	吕			[口/口]	呂	a00525-001
CB15860					[土*(鼻-丌+廾)]		
CB15861	21FBC	𡾼			[山*雙]		c03000
CB15862	3864	㡤			[巾*業]		
CB15863	68B8	梸			[木*利]	梨	a01950-001
CB15864	6CF4	泴			[水/皿]	盥	a02754-001
CB15865	24950	𤥐			[王*吉]		
CB15866					[占*支]		
CB15867					[目*齊]		
CB15868	4040	䁀			[目/折]	鼎	a04785-031
CB15869	40AD	䂭			[石*交]		c08718
CB15870					[石*覽]		
CB15871	25767	𥝧			[禾*巴]		c09241-001
CB15872	7A0F	稏			[禾*亞]		c09110
CB15873	4189	䆉			[禾*罷]		c09241
CB15874					[匡/六]		
CB15875					[此/且]		
CB15876					[虫*反]		
CB15877					[言*赫]		
CB15878					[谷*斤]		
CB15879	2890D	𨤍			[酉*靈]	醽	b05265-004
CB15880	29079	𩁹			[雨/于]	雩	b05578-003
CB15881	99A4	馤			[香*曷]		c16574
CB15882	9AC8	髈			[骨*旁]	膀	a03355-001
CB15883	9B26	鬦			[鬥@斗]	鬥	a04678-002
CB15884					[御/木]		
CB15885					[造/火]		
CB15886	9BF6	鯶			[魚*軍]	鯇	b05966-001
CB15887	2A534	𪔴			[鼓/隆]		
CB15888			20DE2	𠷢	[口*缶*亍]	銜	
CB15889					[仁-二+仄]		
CB15890					[仁-二+雷]		
CB15891					[冗-几+具]	冥	a00306-036
CB15892	51D3	凓			[冰-水+栗]		c00478
CB15893			20C1A	𠰚	[吃-乙+小]		c01080
CB15894	3E8C	㺌			[狂-王+兼]		c07261
CB15895	391D	㤝			[怡-台+充]		c03642,c03642-001
CB15896					[泳-永+下]	汴	b02021-001
CB15897	24177	𤅷			[泳-永+靈]		c06580-001
CB15898					[竺-二+乘]		
CB15899					[竺-二+陡]		
CB15900	26954	𦥔			[臾-人+〡]	申	a02635-005
CB15901	22048	𢁈			[匙-匕+巳]	匙	a00417-004
CB15902					[惇-子+几]		
CB15903					[葉-世+廿]	業	
CB15904					[褒-保+昍]		
CB15905					[聲-耳+亥]		
CB15906					[欼-欠+占]		
CB15907	284F9	𨓹			[遄-而+主]	往	a01278-004
CB15908					[墁-又+力]	墁	
CB15909					[瞷-日+壬]		
CB15910					[櫜-呆+木]	櫜	b01888-001
CB15911					[(└@吉)/大]	結	a03115-007
CB15912					[(└@米)/大]		
CB15913					[(夕/臼)*鳥]		c17645-004
CB15915					[一/(尸@巳)]		
CB15916					[馬*(一/尸)]	驢	
CB15917					[(尤-尢+民)/日]	昏	a01786-009
CB15918			4887	䢇	[(宋-木+几)*辱]		c14347
CB15919	26E88	𦺈			[卄/(己*己)/共]	蓀	a03543-001
CB15920	9EC1	黁			[序-予+(林/香)]		
CB15921			212A2	𡊢	[狦-(狂-王)+土]		
CB15922					[紌-尢+(氏/日)]		
CB15923	2550E	𥔎			[碕-大+(立-一)]	碕	b02984-001
CB15924	39DE	㧞			[托-七+(友-又+乂)]	拔	a01534-015
CB15925	5268	剨			[利-禾+(青-月+石)]		c00613
CB15926	22F7F	𢽿			[敲-高+(采-木+古)]	敢	a01733-008
CB15927					[(完-兀+貝)*(又/韭)]	薤	
CB15928					[蒝-(白/小)+(儿/言)]		
CB15929					[(吳-口+日)-大+(一/八)]	昃	b01530-012
CB15931					[踮-占+(共-八+(人*人))]	蹠	b04945-002
CB15932					[竺-二+(乏-之+(虎-儿+几))]	篪	
CB15933	4AA5	䪥			[(睿-(谷-口+目)+貝)*(又/韭)]	薤	b04096-004
CB15934					[○@…]		
